MP NAME,WORK,CATEGORY,STATE,CONSTITUENCY,IDA,CITY,WARD,BLOCK,VILLAGE,RECOMMENDED DATE,ALLOCATION AMOUNT,IDA APPROVAL,STATUS,HOUSE,,,,,,
Arvind Kumar Sharma,NA - Construction of community centers and community halls,Normal/Others,Haryana,ROHTAK,Deputy Commissioner Jhajjar_IDA,,,BERI,Majra(135),12-12-2023,500000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Ajay Bhatt,NA - Construction of common work sheds/ common covered sitting area,Normal/Others,Uttarakhand,NAINITAL UDHAM SINGH NAG.,DISTRICT MAGISTRATE UDHAMSINGH NAGAR_IDA,Dineshpur,5,,,12-12-2023,200000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Kirit Premjibhai Solanki,NA - Construction of bus-sheds or bus-stops,Normal/Others,Gujarat,AHMEDABAD WEST(SC),DISTRICT COLLECTOR AHMADABAD_IDA,Ahmadabad,Gomtipur,,,12-12-2023,200000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Kirit Premjibhai Solanki,NA - Construction of bus-sheds or bus-stops,Normal/Others,Gujarat,AHMEDABAD WEST(SC),DISTRICT COLLECTOR AHMADABAD_IDA,Ahmadabad,Shahpur,,,12-12-2023,200000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Ajay Bhatt,NA - Construction of common work sheds/ common covered sitting area,Normal/Others,Uttarakhand,NAINITAL UDHAM SINGH NAG.,DISTRICT MAGISTRATE NAINITAL_IDA,,,DHARI,Pokhrar,12-12-2023,200000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Santosh Kumar Gangwar,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Ajay Bhatt,NA - Construction of common work sheds/ common covered sitting area,Normal/Others,Uttarakhand,NAINITAL UDHAM SINGH NAG.,DISTRICT MAGISTRATE NAINITAL_IDA,,,KOTABAG,Dhamola,12-12-2023,250000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Ajay Bhatt,NA - Construction of common work sheds/ common covered sitting area,Normal/Others,Uttarakhand,NAINITAL UDHAM SINGH NAG.,DISTRICT MAGISTRATE UDHAMSINGH NAGAR_IDA,Dineshpur,5,,,12-12-2023,200000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Ajay Bhatt,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Ajay Bhatt,WS/MP021/2023-2024/60597 - Lighting of public spaces,Normal/Others,Uttarakhand,NAINITAL UDHAM SINGH NAG.,DISTRICT MAGISTRATE NAINITAL_IDA,,,BETALGHAT,Katimi,12-12-2023,160173,Approved by IDA,Unsanctioned,Lok Sabha,,,,,,
Ajay Bhatt,NA - Construction of common work sheds/ common covered sitting area,Normal/Others,Uttarakhand,NAINITAL UDHAM SINGH NAG.,DISTRICT MAGISTRATE NAINITAL_IDA,,,HALDWANI,Bachi Nagarno1,12-12-2023,250000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Ajay Bhatt,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Ajay Bhatt,NA - Construction of public libraries and reading rooms,Normal/Others,Uttarakhand,NAINITAL UDHAM SINGH NAG.,DISTRICT MAGISTRATE NAINITAL_IDA,Nainital,14,,,12-12-2023,200000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Ajay Bhatt,NA - Construction of public toilets and bathrooms,Normal/Others,Uttarakhand,NAINITAL UDHAM SINGH NAG.,DISTRICT MAGISTRATE UDHAMSINGH NAGAR_IDA,Nanakmatta,5,,,12-12-2023,250000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Tirath Singh Rawat,NA - Construction of toilet blocks,Normal/Others,Uttarakhand,GARHWAL,DISTRICT MAGISTRATE PAURI GARHWAL_IDA,,,DUGGADA,Diula,12-12-2023,250000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Tirath Singh Rawat,NA - Construction of community centers and community halls,Normal/Others,Uttarakhand,GARHWAL,DISTRICT MAGISTRATE PAURI GARHWAL_IDA,,,DUGGADA,Kesta,12-12-2023,250000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shyam Singh Yadav ,NA - Renovation of ponds and lakes,Normal/Others,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR_IDA,Jaunpur,Husainabad,,,12-12-2023,100000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Kirit Premjibhai Solanki,NA - Construction of bus-sheds or bus-stops,Normal/Others,Gujarat,AHMEDABAD WEST(SC),DISTRICT COLLECTOR AHMADABAD_IDA,Ahmadabad,Shahibagh,,,12-12-2023,200000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Ramesh Chand Bind,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Smt Pratibha Singh,NA - Construction of community centers and community halls,Normal/Others,Himachal Pradesh,MANDI,DEPUTY COMMISSIONER KULLU_IDA,,,BANJAR,Shanshar (41/104),12-12-2023,200000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Smt Pratibha Singh,NA - Construction of community centers and community halls,Normal/Others,Himachal Pradesh,MANDI,DEPUTY COMMISSIONER KULLU_IDA,,,BANJAR,Khabal (8/24),12-12-2023,200000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Smt Pratibha Singh,NA - Development of playground,Normal/Others,Himachal Pradesh,MANDI,DEPUTY COMMISSIONER KULLU_IDA,,,BANJAR,Mashyar (14/39),12-12-2023,300000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Smt Pratibha Singh,NA - Development of playground,Normal/Others,Himachal Pradesh,MANDI,DEPUTY COMMISSIONER KULLU_IDA,,,BANJAR,Sachen (2/7),12-12-2023,150000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Smt Pratibha Singh,NA - Development of playground,Normal/Others,Himachal Pradesh,MANDI,DEPUTY COMMISSIONER KULLU_IDA,,,BANJAR,Dusharh (2/5),12-12-2023,150000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Smt Pratibha Singh,NA - Construction of community centers and community halls,Normal/Others,Himachal Pradesh,MANDI,DEPUTY COMMISSIONER KULLU_IDA,,,BANJAR,Shilhi (12/35),12-12-2023,150000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Smt Gitaben Vajesingbhai Rathva ,NA - Fitting of Sitting RCC Benches in Public Places,Normal/Others,Gujarat,CHHOTA UDAIPUR(ST),DISTRICT COLLECTOR CHHOTA UDEPUR_IDA,Chhota Udaipur,all ward,,,12-12-2023,500000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Kirit Premjibhai Solanki,NA - Construction of bus-sheds or bus-stops,Normal/Others,Gujarat,AHMEDABAD WEST(SC),DISTRICT COLLECTOR AHMADABAD_IDA,Ahmadabad,Lambha,,,12-12-2023,200000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Kirit Premjibhai Solanki,NA - Construction of bus-sheds or bus-stops,Normal/Others,Gujarat,AHMEDABAD WEST(SC),DISTRICT COLLECTOR AHMADABAD_IDA,Ahmadabad,Meghaninagar,,,12-12-2023,200000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
K Jayakumar,WS/MP735/2023-2024/60666 - Lighting of public spaces,Normal/Others,Tamil Nadu,TIRUVALLUR(SC),DISTRICT COLLECTOR TIRUVALLUR_IDA,,,GUMMIDIPUNDI,Kannankottai,12-12-2023,435000,Approved by IDA,,Lok Sabha,,,,,,
Tirath Singh Rawat,NA - Construction of community centers and community halls,Normal/Others,Uttarakhand,GARHWAL,DISTRICT MAGISTRATE TEHRI GARHWAL_IDA,,,NARENDRA NAGAR,Rampur,12-12-2023,500000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
K Jayakumar,WS/MP735/2023-2024/60668 - Lighting of public spaces,Normal/Others,Tamil Nadu,TIRUVALLUR(SC),DISTRICT COLLECTOR TIRUVALLUR_IDA,,,GUMMIDIPUNDI,Mangalam,12-12-2023,435000,Approved by IDA,,Lok Sabha,,,,,,
Kirit Premjibhai Solanki,NA - Setting up of laboratories,Normal/Others,Gujarat,AHMEDABAD WEST(SC),DISTRICT COLLECTOR AHMADABAD_IDA,Ahmadabad,Shahibagh,,,12-12-2023,2000000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mohammad Sadique,NA - Providing drains and gutters for public drainage,Normal/Others,Punjab,FARIDKOT(SC),DEPUTY COMMISSIONER FARIDKOT_IDA,,,FARIDKOT,Faridkot (Rural) (75),12-12-2023,400000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mohammad Sadique,NA - Construction of community centers and community halls,Normal/Others,Punjab,FARIDKOT(SC),DEPUTY COMMISSIONER FARIDKOT_IDA,,,Jaitu,Jhakharwala (149),12-12-2023,250000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mohammad Sadique,NA - Purchase of mobile water tankers,Normal/Others,Punjab,FARIDKOT(SC),DEPUTY COMMISSIONER FARIDKOT_IDA,,,FARIDKOT,Daggo Romana (67),12-12-2023,200000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mohammad Sadique,NA - Development of public parks,Normal/Others,Punjab,FARIDKOT(SC),DEPUTY COMMISSIONER FARIDKOT_IDA,,,FARIDKOT,Kabalwala (1),12-12-2023,150000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Santosh Pandey,NA - Construction of community centers and community halls,Normal/Others,Chhattisgarh,RAJNANDGAON,DISTRICT COLLECTOR RAJNANDGAON_IDA,Rajnandgaon,ward 45,,,12-12-2023,300000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Santosh Pandey,NA - Construction of additional rooms and halls in the existing public and community building,Normal/Others,Chhattisgarh,RAJNANDGAON,DISTRICT COLLECTOR RAJNANDGAON_IDA,Rajnandgaon,ward 45,,,12-12-2023,100000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Santosh Pandey,NA - Construction of artificial reef,Normal/Others,Chhattisgarh,RAJNANDGAON,DISTRICT COLLECTOR RAJNANDGAON_IDA,Rajnandgaon,ward 22,,,12-12-2023,300000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Santosh Pandey,NA - Construction of common work sheds/ common covered sitting area,Normal/Others,Chhattisgarh,RAJNANDGAON,DISTRICT COLLECTOR RAJNANDGAON_IDA,Rajnandgaon,ward 45,,,12-12-2023,150000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
RK Singh Patel,WS/MP802/2023-2024/60442 - Construction of roads,,,,,,,,,,,,,,,,,,,
Kirit Premjibhai Solanki,NA - Setting up of laboratories,Normal/Others,Gujarat,AHMEDABAD WEST(SC),DISTRICT COLLECTOR AHMADABAD_IDA,Ahmadabad,elishbridge,,,12-12-2023,400000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Kirit Premjibhai Solanki,NA - Setting up of laboratories,Normal/Others,Gujarat,AHMEDABAD WEST(SC),DISTRICT COLLECTOR AHMADABAD_IDA,Ahmadabad,Indrapuri,,,12-12-2023,400000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Kirit Premjibhai Solanki,NA - Setting up of laboratories,Normal/Others,Gujarat,AHMEDABAD WEST(SC),DISTRICT COLLECTOR AHMADABAD_IDA,Ahmadabad,kankariya,,,12-12-2023,400000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Kirit Premjibhai Solanki,NA - Setting up of laboratories,Normal/Others,Gujarat,AHMEDABAD WEST(SC),DISTRICT COLLECTOR AHMADABAD_IDA,Ahmadabad,Jasodanagar,,,12-12-2023,2000000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Saumitra khan,NA - Construction of rooms and halls in school and colleges,Normal/Others,West Bengal,BISHNUPUR(SC),DISTRICT MAGISTRATE BANKURA_IDA,Sonamukhi,2,,,12-12-2023,550000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Kirit Premjibhai Solanki,NA - Setting up of laboratories,Normal/Others,Gujarat,AHMEDABAD WEST(SC),DISTRICT COLLECTOR AHMADABAD_IDA,Ahmadabad,Trikampura,,,12-12-2023,2000000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Smt Darshana Vikram Jardosh,NA - Construction of rooms and facilities for hospitals,,,,,,,,,,,,,,,,,,,
Sunita Duggal,NA - Construction of additional rooms and halls in the existing public and community building,Normal/Others,Haryana,SIRSA(SC),Deputy Commissioner Fatehabd_IDA,Fatehabad,Distt. Court Fatehabad,,,12-12-2023,500000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mohammad Sadique,NA - Installing tube-wells and borewells,Normal/Others,Punjab,FARIDKOT(SC),DEPUTY COMMISSIONER FARIDKOT_IDA,,,KOT KAPURA,Kot Kapura (129),12-12-2023,100000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
K Jayakumar,WS/MP735/2023-2024/60669 - Lighting of public spaces,Normal/Others,Tamil Nadu,TIRUVALLUR(SC),DISTRICT COLLECTOR TIRUVALLUR_IDA,,,GUMMIDIPUNDI,Elavur,12-12-2023,435000,Approved by IDA,,Lok Sabha,,,,,,
Sunita Duggal,WS/MP502/2023-2024/60417 - Construction of additional rooms and halls in the existing public and community building,Normal/Others,Haryana,SIRSA(SC),Deputy Commissioner Fatehabd_IDA,Tohana,Tohana,,,12-12-2023,499000,Approved by IDA,Unsanctioned,Lok Sabha,,,,,,
Mohammad Sadique,NA - Purchase of mobile water tankers,Normal/Others,Punjab,FARIDKOT(SC),DEPUTY COMMISSIONER FARIDKOT_IDA,,,FARIDKOT,Simrewala (21),12-12-2023,250000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mohammad Sadique,NA - Street lights,Normal/Others,Punjab,FARIDKOT(SC),DEPUTY COMMISSIONER FARIDKOT_IDA,,,FARIDKOT,Tehna (92),12-12-2023,300000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mohammad Sadique,NA - Installation of fixed garden gym equipment,Normal/Others,Punjab,FARIDKOT(SC),DEPUTY COMMISSIONER FARIDKOT_IDA,,,FARIDKOT,Tehna (92),12-12-2023,250000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shri Gurjeet Singh Aujla ,WS/MP381/2023-2024/60742 - Construction of community centers and community halls,Normal/Others,Punjab,AMRITSAR,DEPUTY COMMISSIONER AMRITSAR_IDA,Amritsar,33,,,12-12-2023,500000,Approved by IDA,Unsanctioned,Lok Sabha,,,,,,
Shri Gurjeet Singh Aujla ,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Shri Gurjeet Singh Aujla ,NA - Installation of multi-gym equipment,Normal/Others,Punjab,AMRITSAR,DEPUTY COMMISSIONER AMRITSAR_IDA,,,TARSIKKA,Uchoke Kalan (206),12-12-2023,300000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Smt Preneet Kaur ,NA - Construction of community centers and community halls,Normal/Others,Punjab,PATIALA,DEPUTY COMMISSIONER PATIALA_IDA,,,PATRAN,Chunagra (158),12-12-2023,495000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Smt Preneet Kaur ,NA - Construction of community centers and community halls,Normal/Others,Punjab,PATIALA,DEPUTY COMMISSIONER PATIALA_IDA,,,SAMANA,Badshahpur (188),12-12-2023,500000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Manish Tewari,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Manish Tewari,WS/MP711/2023-2024/60432 - Purchase of mobile water tankers,Normal/Others,Punjab,ANANDPUR SAHIB,DEPUTY COMMISSIONER ROOPNAGAR_IDA,,,MORINDA,Bangian (239),12-12-2023,150000,Approved by IDA,Unsanctioned,Lok Sabha,,,,,,
Kani K Navas,WS/MP746/2023-2024/60926 - Lighting of public spaces,Normal/Others,Tamil Nadu,RAMANATHAPURAM,DISTRICT COLLECTOR PUDUKKOTTAI_IDA,,,AVADAIYARKOVIL,Talanur,12-12-2023,400000,Approved by IDA,Unsanctioned,Lok Sabha,,,,,,
Kani K Navas,WS/MP746/2023-2024/60927 - Lighting of public spaces,Normal/Others,Tamil Nadu,RAMANATHAPURAM,DISTRICT COLLECTOR PUDUKKOTTAI_IDA,,,AVADAIYARKOVIL,Nattanipurasakudi,12-12-2023,400000,Approved by IDA,Unsanctioned,Lok Sabha,,,,,,
Kani K Navas,WS/MP746/2023-2024/60933 - Lighting of public spaces,Normal/Others,Tamil Nadu,RAMANATHAPURAM,DISTRICT COLLECTOR PUDUKKOTTAI_IDA,,,MANALMELKUDI,Sattiyadi,12-12-2023,400000,Approved by IDA,Unsanctioned,Lok Sabha,,,,,,
Kani K Navas,WS/MP746/2023-2024/60934 - Lighting of public spaces,Normal/Others,Tamil Nadu,RAMANATHAPURAM,DISTRICT COLLECTOR PUDUKKOTTAI_IDA,,,MANALMELKUDI,Manjakkudi,12-12-2023,400000,Approved by IDA,Unsanctioned,Lok Sabha,,,,,,
Kani K Navas,WS/MP746/2023-2024/60935 - Lighting of public spaces,Normal/Others,Tamil Nadu,RAMANATHAPURAM,DISTRICT COLLECTOR PUDUKKOTTAI_IDA,,,MANALMELKUDI,Ammapattinam (CT),12-12-2023,400000,Approved by IDA,Unsanctioned,Lok Sabha,,,,,,
Kani K Navas,NA - Lighting of public spaces,Normal/Others,Tamil Nadu,RAMANATHAPURAM,DISTRICT COLLECTOR PUDUKKOTTAI_IDA,Aranthangi,1,,,12-12-2023,400000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Kani K Navas,WS/MP746/2023-2024/60940 - Lighting of public spaces,Normal/Others,Tamil Nadu,RAMANATHAPURAM,DISTRICT COLLECTOR PUDUKKOTTAI_IDA,,,ARANTANGI,Eginivayal,12-12-2023,400000,Approved by IDA,Sanctioned,Lok Sabha,,,,,,
Kani K Navas,NA - Construction of New Building,Normal/Others,Tamil Nadu,RAMANATHAPURAM,DISTRICT COLLECTOR PUDUKKOTTAI_IDA,,,MANALMELKUDI,Kolendram,12-12-2023,900000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Kani K Navas,WS/MP746/2023-2024/60949 - Construction of public toilets and bathrooms,Normal/Others,Tamil Nadu,RAMANATHAPURAM,DISTRICT COLLECTOR RAMANATHAPURAM_IDA,,,MUDUKULATHUR,Kolundurai,12-12-2023,400000,Approved by IDA,Completed,Lok Sabha,,,,,,
Sanjay Shamrao Dhotre,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Sanjay Shamrao Dhotre,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Sanjay Shamrao Dhotre,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Sanjay Shamrao Dhotre,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Sanjay Shamrao Dhotre,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Sanjay Shamrao Dhotre,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Smt Pratibha Singh,NA - Construction of community centers and community halls,Normal/Others,Himachal Pradesh,MANDI,DEPUTY COMMISSIONER KULLU_IDA,,,BANJAR,Tandi (9/28),12-12-2023,200000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Smt Pratibha Singh,NA - Development of playground,Normal/Others,Himachal Pradesh,MANDI,DEPUTY COMMISSIONER KULLU_IDA,,,BANJAR,Shangarh (3/9),12-12-2023,200000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Smt Pratibha Singh,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Kirit Premjibhai Solanki,NA - Setting up of laboratories,Normal/Others,Gujarat,AHMEDABAD WEST(SC),DISTRICT COLLECTOR AHMADABAD_IDA,Ahmadabad,Asarwa,,,12-12-2023,400000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Smt Sarmistha Sethi,NA - Development of playground,Normal/Others,Odisha,JAJPUR(SC),DISTRICT COLLECTOR JAJPUR_IDA,,,DAHRMASALA,Chahata,12-12-2023,1000000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Tirath Singh Rawat,NA - Construction of community centers and community halls,Normal/Others,Uttarakhand,GARHWAL,DISTRICT MAGISTRATE TEHRI GARHWAL_IDA,,,NARENDRA NAGAR,Udar Khet,12-12-2023,500000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Tirath Singh Rawat,NA - Construction of rooms and halls in school and colleges,Normal/Others,Uttarakhand,GARHWAL,DM Chamoli_IDA,,,GAIRSAIN,Panchali,12-12-2023,500000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Ajay Bhatt,NA - Construction of common work sheds/ common covered sitting area,Normal/Others,Uttarakhand,NAINITAL UDHAM SINGH NAG.,DISTRICT MAGISTRATE NAINITAL_IDA,Bhimtal,5,,,12-12-2023,250000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Ajay Bhatt,NA - Construction of common work sheds/ common covered sitting area,Normal/Others,Uttarakhand,NAINITAL UDHAM SINGH NAG.,DISTRICT MAGISTRATE NAINITAL_IDA,Bhimtal,1,,,12-12-2023,200000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Manish Tewari,WS/MP711/2023-2024/60430 - Purchase of mobile water tankers,Normal/Others,Punjab,ANANDPUR SAHIB,DEPUTY COMMISSIONER ROOPNAGAR_IDA,,,MORINDA,Boor Majra (227),12-12-2023,150000,Approved by IDA,Unsanctioned,Lok Sabha,,,,,,
Sushil Kumar Rinku ,NA - Construction of additional rooms and halls in the existing public and community building,Normal/Others,Punjab,JALANDHAR(SC),DEPUTY COMMISSIONER JALANDHAR_IDA,Jalandhar,10,,,12-12-2023,300000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Prof Saugata Roy ,NA - Construction of rooms and halls in school and colleges,Normal/Others,West Bengal,DUM DUM,DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA,North Dum Dum,1,,,12-12-2023,1000000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Kani K Navas,WS/MP746/2023-2024/60924 - Lighting of public spaces,Normal/Others,Tamil Nadu,RAMANATHAPURAM,DISTRICT COLLECTOR PUDUKKOTTAI_IDA,,,AVADAIYARKOVIL,Perunavalur,12-12-2023,400000,Approved by IDA,Unsanctioned,Lok Sabha,,,,,,
Uttam Kumar Nalamada Reddy,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Uttam Kumar Nalamada Reddy,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Uttam Kumar Nalamada Reddy,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Uttam Kumar Nalamada Reddy,NA - Construction of boundary walls of existing public and community buildings,Normal/Others,Telangana,NALGONDA,DISTRICT COLLECTOR SURYAPET_IDA,,,Palakeedu,Yellapuram,12-12-2023,400000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Uttam Kumar Nalamada Reddy,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Uttam Kumar Nalamada Reddy,WS/MP771/2023-2024/60979 - Construction of roads,,,,,,,,,,,,,,,,,,,
Shri Kapil Sibal,NA - Construction of rooms and halls in school and colleges,Normal/Others,Uttar Pradesh,Sitting Rajya Sabha,DISTRICT MAGISTRATE SULTANPUR_IDA,,,MOTIGARPUR,Khairaha,12-12-2023,3000000,Action Pending,Unsanctioned,Rajya Sabha,,,,,,
SHRI. Hardeep Singh Puri,NA - Lighting of public spaces,Normal/Others,Uttar Pradesh,Sitting Rajya Sabha,DISTRICT MAGISTRATE SONBHADRA_IDA,,,CHATRA,Bamanaul,12-12-2023,130000,Action Pending,Unsanctioned,Rajya Sabha,,,,,,
SHRI. Hardeep Singh Puri,NA - Lighting of public spaces,Normal/Others,Uttar Pradesh,Sitting Rajya Sabha,DISTRICT MAGISTRATE SONBHADRA_IDA,Robertsganj,13,,,12-12-2023,700000,Action Pending,Unsanctioned,Rajya Sabha,,,,,,
SHRI. Hardeep Singh Puri,NA - Lighting of public spaces,Normal/Others,Uttar Pradesh,Sitting Rajya Sabha,DISTRICT MAGISTRATE SONBHADRA_IDA,Chopan,10,,,12-12-2023,2462000,Action Pending,Unsanctioned,Rajya Sabha,,,,,,
SH Vijay Pal Singh Tomar,NA - Construction of rooms and halls in school and colleges,Normal/Others,Uttar Pradesh,Sitting Rajya Sabha,DISTRICT MAGISTRATE MEERUT_IDA,,,SARDHANA,Kapsarh,12-12-2023,1000000,Action Pending,Unsanctioned,Rajya Sabha,,,,,,
SH Vijay Pal Singh Tomar,NA - Street lights,Normal/Others,Uttar Pradesh,Sitting Rajya Sabha,DISTRICT MAGISTRATE MEERUT_IDA,,,SARDHANA,Shahpur Zadid,12-12-2023,140000,Action Pending,Unsanctioned,Rajya Sabha,,,,,,
Uttam Kumar Nalamada Reddy,WS/MP771/2023-2024/60980 - Construction of roads,,,,,,,,,,,,,,,,,,,
Uttam Kumar Nalamada Reddy,WS/MP771/2023-2024/60982 - Construction of roads,,,,,,,,,,,,,,,,,,,
Sudip Bandyopadhyay ,WS/MP867/2023-2024/60630 - Providing drains and gutters for public drainage,Normal/Others,West Bengal,KOLKATA UTTAR,COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA,Kolkata,58,,,12-12-2023,3500000,Approved by IDA,Unsanctioned,Lok Sabha,,,,,,
Mohammad Akbar Lone,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Mohammad Akbar Lone,WS/MP603/2023-2024/61022 - Improvement of electricity distribution infrastructure,Normal/Others,Jammu And Kashmir,BARAMULLAH,Deputy Commissioner Bandipora_IDA,,,SUMBAL,Asham,12-12-2023,776000,Approved by IDA,Unsanctioned,Lok Sabha,,,,,,
Sunita Duggal,WS/MP502/2023-2024/60411 - Construction of community centers and community halls,Normal/Others,Haryana,SIRSA(SC),Deputy Commissioner Fatehabd_IDA,Tohana,Tohana,,,12-12-2023,499000,Approved by IDA,Unsanctioned,Lok Sabha,,,,,,
Sunita Duggal,WS/MP502/2023-2024/60412 - Construction of community centers and community halls,Normal/Others,Haryana,SIRSA(SC),Deputy Commissioner Fatehabd_IDA,Tohana,Tohana,,,12-12-2023,499000,Approved by IDA,Unsanctioned,Lok Sabha,,,,,,
Sunita Duggal,WS/MP502/2023-2024/60413 - Construction of community centers and community halls,Normal/Others,Haryana,SIRSA(SC),Deputy Commissioner Fatehabd_IDA,Tohana,Tohana,,,12-12-2023,499000,Approved by IDA,Unsanctioned,Lok Sabha,,,,,,
Sunita Duggal,WS/MP502/2023-2024/60414 - Construction of additional rooms and halls in the existing public and community building,Normal/Others,Haryana,SIRSA(SC),Deputy Commissioner Fatehabd_IDA,Tohana,Tohana,,,12-12-2023,499000,Approved by IDA,Unsanctioned,Lok Sabha,,,,,,
Sunita Duggal,WS/MP502/2023-2024/60415 - Construction of additional rooms and halls in the existing public and community building,Normal/Others,Haryana,SIRSA(SC),Deputy Commissioner Fatehabd_IDA,Tohana,Tohana,,,12-12-2023,499000,Approved by IDA,Unsanctioned,Lok Sabha,,,,,,
Shri Satish Chandra Dubey,NA - Fitting of Sitting RCC Benches in Public Places,Normal/Others,Bihar,Sitting Rajya Sabha,DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA,,,MADHUBANI,Dhanaha,12-12-2023,500000,Action Pending,Unsanctioned,Rajya Sabha,,,,,,
Shri Satish Chandra Dubey,NA - Construction of public staircase to access road over bridge,Normal/Others,Bihar,Sitting Rajya Sabha,DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA,Bettiah,28,,,12-12-2023,900000,Action Pending,Unsanctioned,Rajya Sabha,,,,,,
Shri Satish Chandra Dubey,NA - Providing drains and gutters for public drainage,Normal/Others,Bihar,Sitting Rajya Sabha,DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA,Bettiah,28,,,12-12-2023,900000,Action Pending,Unsanctioned,Rajya Sabha,,,,,,
