MP NAME,WORK,CATEGORY,STATE,CONSTITUENCY,IDA,CITY,WARD,BLOCK,VILLAGE,RECOMMENDED DATE,ALLOCATION AMOUNT,IDA APPROVAL,STATUS,HOUSE,,,,,,
Manoj Rajoria,NA - Installing community drinking water plants,Normal/Others,Rajasthan,KARAULI-DHOLPUR(SC),DISTRICT COLLECTOR DHOLPUR_IDA,,,Bari,Norha,04-03-2024,600000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Manoj Rajoria,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Mr Gopal Jee Thakur,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Manoj Rajoria,NA - Installing community drinking water plants,Normal/Others,Rajasthan,KARAULI-DHOLPUR(SC),DISTRICT COLLECTOR DHOLPUR_IDA,Dhaulpur,Dhaulpur (M) - Ward No.10,,,04-03-2024,150000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,Benipur,Benipur (M) - Ward No. 07,,,04-03-2024,487000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,Benipur,Benipur (M) - Ward No. 29,,,04-03-2024,487000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,Benipur,Benipur (M) - Ward No. 10,,,04-03-2024,487000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,Benipur,Benipur (M) - Ward No. 07,,,04-03-2024,487000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Manoj Rajoria,NA - Construction of community centers and community halls,Normal/Others,Rajasthan,KARAULI-DHOLPUR(SC),DISTRICT COLLECTOR DHOLPUR_IDA,,,Mania,Marha Bhau,04-03-2024,600000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Manoj Rajoria,NA - Construction of community centers and community halls,Normal/Others,Rajasthan,KARAULI-DHOLPUR(SC),DISTRICT COLLECTOR DHOLPUR_IDA,,,Sepau,Sakhwara,04-03-2024,700000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shri Bhartruhari Mahtab ,NA - Construction of buildings for community cultural activities,Normal/Others,Odisha,CUTTACK,DISTRICT COLLECTOR CUTTACK_IDA,,,Cuttack Sadar,Kalapada,03-03-2024,500000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shivkumar Chanabasappa Udasi,NA - Construction of additional rooms and halls in the existing public and community building,Normal/Others,Karnataka,HAVERI,DEPUTY COMMISSIONER HAVERI_IDA,,,Haveri,Venkatapur,03-03-2024,500000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shri Abdul Khaleque ,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Shri Abdul Khaleque ,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Gaddam Ranjith Reddy,NA - Lighting of public spaces,Normal/Others,Telangana,CHELVELLA,DISTRICT COLLECTOR VIKARABAD_IDA,,,Basheerabad,Neelapalle,03-03-2024,170000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Gaddam Ranjith Reddy,NA - Lighting of public spaces,Normal/Others,Telangana,CHELVELLA,DISTRICT COLLECTOR VIKARABAD_IDA,,,Basheerabad,Navalga,03-03-2024,170000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Gaddam Ranjith Reddy,NA - Lighting of public spaces,Normal/Others,Telangana,CHELVELLA,DISTRICT COLLECTOR VIKARABAD_IDA,,,Basheerabad,Navandgi (Ct),03-03-2024,510000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Gaddam Ranjith Reddy,NA - Lighting of public spaces,Normal/Others,Telangana,CHELVELLA,DISTRICT COLLECTOR VIKARABAD_IDA,,,Basheerabad,Jalalpur,03-03-2024,510000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Dr Sukanta Majumdar ,NA - Street lights,Normal/Others,West Bengal,BALURGHAT,DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA,Balurghat,Baidyanathpara (OG) - Ward No.25,,,03-03-2024,35000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shri Bhartruhari Mahtab ,NA - Construction of buildings for community cultural activities,Normal/Others,Odisha,CUTTACK,DISTRICT COLLECTOR CUTTACK_IDA,,,Kishannagar,Bankol,03-03-2024,200000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shri Bhartruhari Mahtab ,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Shri Bhartruhari Mahtab ,NA - Construction of buildings for community cultural activities,Normal/Others,Odisha,CUTTACK,DISTRICT COLLECTOR CUTTACK_IDA,,,Kandarpur,Nimeisapur,03-03-2024,300000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shri Bhartruhari Mahtab ,NA - Construction of buildings for community cultural activities,Normal/Others,Odisha,CUTTACK,DISTRICT COLLECTOR CUTTACK_IDA,,,Kishannagar,Bankol,03-03-2024,120000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shri Bhartruhari Mahtab ,NA - Lighting of public spaces,Normal/Others,Odisha,CUTTACK,DISTRICT COLLECTOR CUTTACK_IDA,,,Kishannagar,Radhanagar,03-03-2024,100000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shri Bhartruhari Mahtab ,NA - Construction of buildings for community cultural activities,Normal/Others,Odisha,CUTTACK,DISTRICT COLLECTOR CUTTACK_IDA,,,Badamba,Maniabandha,03-03-2024,300000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shri Mahesh Sahoo ,NA - Construction of boundary walls of existing public and community buildings,Normal/Others,Odisha,DHENKANAL,DISTRICT COLLECTORANGUL_IDA,,,Palalahada,Chasagurujanga,03-03-2024,300000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shri Mahesh Sahoo ,NA - Construction of boundary walls of existing public and community buildings,Normal/Others,Odisha,DHENKANAL,DISTRICT COLLECTORANGUL_IDA,,,Palalahada,Chasagurujanga,03-03-2024,500000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shri Mahesh Sahoo ,NA - Construction of New Building,Normal/Others,Odisha,DHENKANAL,DISTRICT COLLECTORANGUL_IDA,,,Khamar,Khamar,03-03-2024,500000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shri Mahesh Sahoo ,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Shri Mahesh Sahoo ,NA - Construction of boundary walls of existing public and community buildings,Normal/Others,Odisha,DHENKANAL,DISTRICT COLLECTORANGUL_IDA,,,Khamar,Sankhamur,03-03-2024,300000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shri Mahesh Sahoo ,NA - Construction of community centers and community halls,Normal/Others,Odisha,DHENKANAL,DISTRICT COLLECTORANGUL_IDA,,,Palalahada,Pabitrapur,03-03-2024,400000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shri Mahesh Sahoo ,NA - Construction of community centers and community halls,Normal/Others,Odisha,DHENKANAL,DISTRICT COLLECTORANGUL_IDA,,,Palalahada,Batisuan,03-03-2024,400000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Rahul Kaswan,NA - Construction of rooms and halls in school and colleges,Normal/Others,Rajasthan,CHURU,DISTRICT COLLECTOR CHURU_IDA,,,Bhanipura,Sawar,03-03-2024,850000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Rahul Kaswan,NA - Construction of additional rooms and halls in the existing public and community building,Normal/Others,Rajasthan,CHURU,DISTRICT COLLECTOR CHURU_IDA,,,Bhanipura,Rajasar Panwaran,03-03-2024,650000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shri Bhartruhari Mahtab ,NA - Construction of buildings for community cultural activities,Normal/Others,Odisha,CUTTACK,DISTRICT COLLECTOR CUTTACK_IDA,,,Kandarpur,Gatiroutpatana (Part) Dihasahi,03-03-2024,500000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shivkumar Chanabasappa Udasi,NA - Construction of bus-sheds or bus-stops,Normal/Others,Karnataka,HAVERI,DEPUTY COMMISSIONER HAVERI_IDA,,,Haveri,Devagiri,03-03-2024,500000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Dr Sukanta Majumdar ,NA - Street lights,Normal/Others,West Bengal,BALURGHAT,DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA,Balurghat,Baidyanathpara (OG) - Ward No.25,,,03-03-2024,35000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Dr Sukanta Majumdar ,NA - Street lights,Normal/Others,West Bengal,BALURGHAT,DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA,Balurghat,Baidyanathpara (OG) - Ward No.25,,,03-03-2024,35000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Dr Sukanta Majumdar ,NA - Street lights,Normal/Others,West Bengal,BALURGHAT,DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA,Balurghat,Baidyanathpara (OG) - Ward No.25,,,03-03-2024,35000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shri Dilip Ghosh ,NA - Construction of rooms and halls in school and colleges,Normal/Others,West Bengal,MEDINIPUR,DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA,Medinipur,Medinipur (M) - Ward No.9,,,03-03-2024,1800000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shri Dilip Ghosh ,NA - Construction of rooms and halls in school and colleges,Normal/Others,West Bengal,MEDINIPUR,DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA,Kharagpur,Kharagpur (M) - Ward No.23,,,03-03-2024,952002,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shivkumar Chanabasappa Udasi,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Adhir Ranjan Chowdhury ,NA - Installing community drinking water plants,Normal/Others,West Bengal,BAHARAMPUR,DISTRICT MAGISTRATE MURSHIDABAD_IDA,Berhampore,Baharampur (M) - Ward No.22,,,03-03-2024,1085000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shivkumar Chanabasappa Udasi,NA - Construction of additional rooms and halls in the existing public and community building,Normal/Others,Karnataka,HAVERI,DEPUTY COMMISSIONER HAVERI_IDA,,,Savanur,Hiremugadur,03-03-2024,500000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shivkumar Chanabasappa Udasi,NA - Crematoriums or structures on burial/ cremation ground for public convenience,Normal/Others,Karnataka,HAVERI,DEPUTY COMMISSIONER HAVERI_IDA,Hirekerur,Hirekerur (TP) - Ward No.7,,,03-03-2024,200000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shri Mahesh Sahoo ,NA - Construction of boundary walls of existing public and community buildings,Normal/Others,Odisha,DHENKANAL,DISTRICT COLLECTORANGUL_IDA,,,Khamar,Raghunathpur,03-03-2024,500000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shivkumar Chanabasappa Udasi,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Rahul Kaswan,NA - Improvement of electricity distribution infrastructure,Normal/Others,Rajasthan,CHURU,DISTRICT COLLECTOR CHURU_IDA,,,Churu,Gajsar,03-03-2024,185000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shivkumar Chanabasappa Udasi,NA - Construction of bus-sheds or bus-stops,Normal/Others,Karnataka,HAVERI,DEPUTY COMMISSIONER HAVERI_IDA,,,Haveri,Devagiri Yellapur,03-03-2024,500000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shivkumar Chanabasappa Udasi,NA - Construction of bus-sheds or bus-stops,Normal/Others,Karnataka,HAVERI,DEPUTY COMMISSIONER HAVERI_IDA,,,Haveri,Devagiri,03-03-2024,500000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Gaddam Ranjith Reddy,NA - Lighting of public spaces,Normal/Others,Telangana,CHELVELLA,DISTRICT COLLECTOR VIKARABAD_IDA,,,Yelal,Bennur,03-03-2024,170000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Rahul Kaswan,NA - Construction of additional rooms and halls in the existing public and community building,Normal/Others,Rajasthan,CHURU,DISTRICT COLLECTOR CHURU_IDA,,,Taranagar,Buchawas,03-03-2024,650000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Dr Sukanta Majumdar ,NA - Street lights,Normal/Others,West Bengal,BALURGHAT,DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA,Balurghat,Baidyanathpara (OG) - Ward No.25,,,03-03-2024,35000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Rahul Kaswan,NA - Construction of additional rooms and halls in the existing public and community building,Normal/Others,Rajasthan,CHURU,DISTRICT COLLECTOR CHURU_IDA,,,Sardarshahar,Patlisar Purohitan,03-03-2024,650000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Rahul Kaswan,NA - Construction of boundary walls of existing public and community buildings,Normal/Others,Rajasthan,CHURU,DISTRICT COLLECTOR CHURU_IDA,,,Ratangarh,Parihara,03-03-2024,1000000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shivkumar Chanabasappa Udasi,NA - Construction of rooms and halls in school and colleges,Normal/Others,Karnataka,HAVERI,DEPUTY COMMISSIONER HAVERI_IDA,,,Haveri,Kallihal,03-03-2024,500000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shri Mahesh Sahoo ,NA - Construction of boundary walls of existing public and community buildings,Normal/Others,Odisha,DHENKANAL,DISTRICT COLLECTORANGUL_IDA,,,Khamar,Sankhamur,03-03-2024,400000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shri Mahesh Sahoo ,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Gaddam Ranjith Reddy,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Smt Ranjeeta Koli,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Rahul Kaswan,NA - Improvement of electricity distribution infrastructure,Normal/Others,Rajasthan,CHURU,DISTRICT COLLECTOR CHURU_IDA,,,Ratangarh,Menasar,03-03-2024,200000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Rahul Kaswan,NA - Construction of rooms and halls in school and colleges,Normal/Others,Rajasthan,CHURU,DISTRICT COLLECTOR CHURU_IDA,,,Ratangarh,Chainpura,03-03-2024,850000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Rahul Kaswan,NA - Development of playfields and sports grounds,Normal/Others,Rajasthan,CHURU,DISTRICT COLLECTOR CHURU_IDA,,,Ratangarh,Gogasar,03-03-2024,500000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Smt Ranjeeta Koli,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Smt Ranjeeta Koli,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Smt Ranjeeta Koli,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Smt Ranjeeta Koli,NA - Crematoriums or structures on burial/ cremation ground for public convenience,Normal/Others,Rajasthan,BHARATPUR(SC),DISTRICT COLLECTOR BHARATPUR_IDA,,,Nadbai,Gadauli,03-03-2024,300000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Smt Ranjeeta Koli,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Rahul Kaswan,NA - Improvement of electricity distribution infrastructure,Normal/Others,Rajasthan,CHURU,DISTRICT COLLECTOR CHURU_IDA,,,Rajgarh,Bas Mundi,03-03-2024,488000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Sukhbir Singh Jaunapuria,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
